DesignId,PlanId,StepId,StepInfo,ActionType,ActionName,Input,Output,Expected,Critical,Result,Time,TimeTaken
D1,PLoginTest,1,Open Browser,xUI,xOpenBrowser,chrome,Opened chrome browser,nan,y,Pass,20:01:52,2.8715620040893555
D1,PLoginTest,2,Navigate to URL,xUI,xNavigate,https://ui.cogmento.com/?lang=en,Navigated to https://ui.cogmento.com/?lang=en,nan,y,Pass,20:01:59,6.590045213699341
D1,PLoginTest,3,Type Email,xUI,xType,kkarthikqe@gmail.com;xpath==//input[@name='email'],Typed 'kkarthikqe@gmail.com' into element,nan,y,Pass,20:01:59,0.3615458011627197
D1,PLoginTest,4,Type Password,xUI,xType,Test123$;xpath==//input[@name='password'],Typed 'Test123$' into element,nan,y,Pass,20:01:59,0.15073347091674805
D1,PLoginTest,5,Click Login,xUI,xClick,xpath==//div[text()='Login'],Clicked element,nan,y,Pass,20:02:00,0.18526768684387207
D1,PLoginTest,6,Wait for Dashboard,xUI,xWaitFor,"xpath==//div[contains(text(), 'Dashboard')]",Error in xWaitFor: xWaitFor failed for locator 'xpath==//div[contains(text(); 'Dashboard')]': Message: [Artifacts => screenshot: None_None_2 [Link to PLoginTest_D1_6.txt],nan,y,Fail,20:02:18,18.22804617881775
D1,PLoginTest,6,Wait for Dashboard,xUI,xWaitFor,"xpath==//div[contains(text(), 'Dashboard')]",Error in xWaitFor: xWaitFor failed for locator 'xpath==//div[contains(text(); 'Dashboard')]': Message: [Artifacts => screenshot: None_None_2 [Link to PLoginTest_D1_6.txt],nan,y,Fail,20:02:18,18.224990844726562
D1,PUI_AddRemoveElements,1,Open Browser,xUI,xOpenBrowser,chrome,Opened chrome browser,nan,y,Pass,20:01:52,2.782642364501953
D1,PUI_AddRemoveElements,2,Navigate to Add/Remove Elements,xUI,xNavigate,"https://the-internet.herokuapp.com/;css==a[href=""/add_remove_elements/""]","Navigated to https://the-internet.herokuapp.com/;css==a[href=""/add_remove_elements/""]",nan,y,Pass,20:01:53,0.6165218353271484
D1,PUI_AddRemoveElements,3,Click Add Element,xUI,xClick,"css==button[onclick=""addElement()""]","Error in xClick: xClick failed for locator 'css==button[onclick=""addElement()""]': Message: [Artifacts => screenshot: None_None_200210.png |  [Link to PUI_AddRemoveElements_D1_3.txt]",nan,y,Fail,20:02:11,17.642179489135742
D1,PUI_Checkboxes,1,Open Browser,xUI,xOpenBrowser,chrome,Opened chrome browser,nan,y,Pass,20:01:52,2.78813099861145
D1,PUI_Checkboxes,2,Navigate to Checkboxes,xUI,xNavigate,"https://the-internet.herokuapp.com/;css==a[href=""/checkboxes""]","Navigated to https://the-internet.herokuapp.com/;css==a[href=""/checkboxes""]",nan,y,Pass,20:01:53,0.8058032989501953
D1,PUI_Checkboxes,3,Check First Checkbox,xUI,xClick,"css==input[type=""checkbox""]:nth-child(1)","Error in xClick: xClick failed for locator 'css==input[type=""checkbox""]:nth-child(1)': Message: [Artifacts => screenshot: None_None_200211.p [Link to PUI_Checkboxes_D1_3.txt]",nan,y,Fail,20:02:11,17.624840259552002
D1,PMath_Addition,1,Verify_Math_Addition,xMath,xAdd,12;23,35.0,35,n,Pass,20:02:11,0.0005633831024169922
D2,PMath_Addition,1,Verify_Math_Addition,xMath,xAdd,200;300,500.0,500,n,Pass,20:02:11,0.0005779266357421875
D1,PMath_Area,1,Square radius,xMath,xMultiply,12;12,144.0,nan,n,Pass,20:02:11,0.0006315708160400391
D1,PMath_Area,2,Multiple res with pi,xMath,xMultiply,vTemp;3.14,Error in xMultiply: Non-numeric input: ['vTemp'; '3.14'] [Link to PMath_Area_D1_2.txt],452.16,n,Fail,20:02:11,0.0006356239318847656
D2,PMath_Area,1,Square radius,xMath,xMultiply,200;200,40000.0,nan,n,Pass,20:02:11,0.0005946159362792969
D2,PMath_Area,2,Multiple res with pi,xMath,xMultiply,vTemp;3.14,Error in xMultiply: Non-numeric input: ['vTemp'; '3.14'] [Link to PMath_Area_D1_2.txt],12845,,Fail,20:02:11,0.0006356239318847656
D1,PAPI_PetGet,1,Get pet by ID,xAPI,xGet,https://petstore.swagger.io/v2;/pet/1,200,200,n,Pass,20:02:13,1.7741234302520752
D1,PAPI_PetAdd,1,Add new pet,xAPI,xPost,https://petstore.swagger.io/v2;/pet;/y/API/addPet.json,200,200,n,Pass,20:02:13,1.7308728694915771
D1,PAPI_PetDelete,1,Delete pet by ID,xAPI,xDelete,https://petstore.swagger.io/v2;/pet/1,200,200,n,Pass,20:02:14,1.4581561088562012
D1,PAPI_UserGet,1,Get user by ID,xAPI,xGet,https://reqres.in/api;/users/1,401,200,n,Fail,20:02:14,1.2177467346191406
D1,PAPI_UsersGet,1,Get all users,xAPI,xGet,https://reqres.in/api;/users/1,401,200,n,Fail,20:02:15,1.4835505485534668
D1,PAPI_UserCreate,1,Create new user,xAPI,xPost,https://reqres.in/api;/users;/y/API/addUser.json;Bearer valid_token,401,201,n,Fail,20:02:16,1.4486939907073975
