Time,PlanId,DesignId,StepId,ActionType,ActionName,StepInfo,Output
2025-10-17 19:00:56,P1,D1,6,xUI,xGetText,,Error in xGetText: xGetText failed for locator 'css==.feature-card': Message: [Artifacts => screenshot: None_None_190056.png | page: None_No [Link to P1_D1_6.txt]
2025-10-17 19:01:22,P2,D1,3,xUI,xClick,,Error in xClick: xClick failed for locator 'css==a[href="f.html"]': Message: [Artifacts => screenshot: None_None_190122.png | page: None_Non [Link to P2_D1_3.txt]
2025-10-17 19:01:40,P4,D1,3,xUI,xGetText,,Error in xGetText: xGetText failed for locator 'css==h1': Message: [Artifacts => screenshot: None_None_190140.png | page: None_None_190140.h [Link to P4_D1_3.txt]
2025-10-17 19:02:00,P7,D1,3,xUI,xType,,Error in xType: xType failed for locator 'xpath==//input[@placeholder='Search']': Message: [Artifacts => screenshot: None_None_190159.png |  [Link to P7_D1_3.txt]
2025-10-17 19:02:18,P8,D1,3,xUI,xClick,,Error in xClick: xClick failed for locator 'xpath==//button[normalize-space(.)='yPlans.csv']': Message: [Artifacts => screenshot: None_None_ [Link to P8_D1_3.txt]
2025-10-17 19:02:18,P8,D1,4,xUI,xUploadFile,,Error in xUploadFile: File not found: D:\y\Mix\y1Plans.csv [Link to P8_D1_4.png]
2025-10-17 19:02:36,P8,D1,5,xUI,xClick,,Error in xClick: xClick failed for locator 'xpath==//button[normalize-space(.)='yActions.csv']': Message: [Artifacts => screenshot: None_Non [Link to P8_D1_5.txt]
2025-10-17 19:02:36,P8,D1,6,xUI,xUploadFile,,Error in xUploadFile: File not found: D:\y\Mix\y1Plans.csv [Link to P8_D1_6.png]
2025-10-17 19:02:54,P8,D1,7,xUI,xClick,,Error in xClick: xClick failed for locator 'xpath==//button[normalize-space(.)='yDesigns.csv']': Message: [Artifacts => screenshot: None_Non [Link to P8_D1_7.txt]
2025-10-17 19:02:54,P8,D1,8,xUI,xUploadFile,,Error in xUploadFile: File not found: D:\y\Mix\y1Plans.csv [Link to P8_D1_8.png]
2025-10-17 19:03:12,P8,D1,9,xUI,xClick,,Error in xClick: xClick failed for locator 'xpath==//button[normalize-space(.)='Add YPAD Set']': Message: [Artifacts => screenshot: None_Non [Link to P8_D1_9.txt]
2025-10-17 19:03:30,P8,D1,10,xUI,xWaitFor,,Error in xWaitFor: xWaitFor failed for locator 'css==.success-message': Message: [Artifacts => screenshot: None_None_190330.png | page: None [Link to P8_D1_10.txt]
2025-10-17 19:03:55,P3,D1,3,xUI,xGetText,,Error in xGetText: xGetText failed for locator 'css==h1': Message: [Artifacts => screenshot: None_None_190355.png | page: None_None_190355.h [Link to P3_D1_3.txt]
2025-10-17 19:03:55,P8,D1,2,xUI,xNavigate,,Error in xNavigate: Invalid URL: ai_url. Must start with http:// or https:// [Link to P8_D1_2.png]
2025-10-17 19:03:55,P8,D1,3,xUI,xUploadFile,,Error in xUploadFile: File not found: D:\FoXYiZ\1F_Code\context_file_path [Link to P8_D1_3.png]
2025-10-17 19:04:13,P8,D1,4,xUI,xType,,Error in xType: xType failed for locator 'query_input_locator': Message: [Artifacts => screenshot: None_None_190413.png | page: None_None_19 [Link to P8_D1_4.txt]
2025-10-17 19:04:31,P8,D1,5,xUI,xClick,,Error in xClick: xClick failed for locator 'submit_button_locator': Message: [Artifacts => screenshot: None_None_190431.png | page: None_Non [Link to P8_D1_5.txt]
2025-10-17 19:04:49,P8,D1,6,xUI,xGetText,,Error in xGetText: xGetText failed for locator 'response_locator': Message: [Artifacts => screenshot: None_None_190448.png | page: None_None [Link to P8_D1_6.txt]
2025-10-17 19:05:14,P13,D1,3,xUI,xClick,,Error in xClick: xClick failed for locator 'css==a[href="ai.html"]': Message: [Artifacts => screenshot: None_None_190514.png | page: None_No [Link to P13_D1_3.txt]
